step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
0,0.313054,14.614647,3.0000,0.328251,11864.240180,0.983742,0.983742,0.003202,0.003150,1.000000
1,0.276039,14.586024,3.0000,0.297121,10548.217335,0.890705,0.890705,0.003208,0.002857,1.000000
2,0.258123,14.523873,3.0000,0.273667,9055.197958,0.820748,0.820748,0.003221,0.002644,1.000000
3,0.263413,14.436495,3.0000,0.282005,9696.228125,0.845161,0.845161,0.003239,0.002738,1.000000
4,0.257180,14.327435,3.0000,0.275173,9155.830039,0.824909,0.824909,0.003262,0.002691,1.000000
5,0.242050,14.198980,3.0000,0.259025,8580.376621,0.776854,0.776854,0.003290,0.002556,1.000000
6,0.281839,14.052824,3.0000,0.291616,9934.954127,0.874197,0.874197,0.003322,0.002904,1.000000
7,0.248050,13.890330,3.0000,0.256969,8170.661378,0.770603,0.770603,0.003358,0.002588,1.000000
8,0.236677,13.712652,3.0000,0.244838,7717.339959,0.734242,0.734242,0.003398,0.002495,1.000000
9,0.223094,13.520800,3.0000,0.232666,7155.096023,0.697757,0.697757,0.003443,0.002403,1.000000
10,0.237895,13.315684,3.0000,0.247082,7656.800564,0.740709,0.740709,0.003493,0.002587,1.000000
11,0.230298,13.098140,3.0000,0.240969,7368.019450,0.722475,0.722475,0.003547,0.002562,1.000000
12,0.224959,12.868946,3.0000,0.241639,7297.178072,0.723908,0.723908,0.003605,0.002610,1.000000
13,0.239853,12.628837,3.0000,0.259683,7907.755515,0.776278,0.776278,0.003669,0.002848,1.000000
14,0.238777,12.378512,3.0000,0.260575,7853.863313,0.778096,0.778096,0.003737,0.002908,1.000000
15,0.231980,12.118646,3.0000,0.250176,7451.140472,0.747636,0.747636,0.003811,0.002850,1.000000
16,0.225064,11.849886,3.0000,0.244359,6936.991873,0.730120,0.730120,0.003891,0.002841,1.000000
17,0.230741,11.572865,3.0000,0.253391,7754.593563,0.756562,0.756562,0.003977,0.003009,1.000000
18,0.205143,11.288198,3.0000,0.221049,6071.276412,0.662030,0.662030,0.004069,0.002694,1.000000
19,0.224880,10.996489,3.0000,0.237999,6915.232566,0.712593,0.712593,0.004168,0.002970,1.000000
20,0.193092,10.698330,3.0000,0.208030,5396.088412,0.623435,0.623435,0.004274,0.002665,1.000000
21,0.208792,10.394307,3.0000,0.220597,5707.743863,0.660973,0.660973,0.004388,0.002900,1.000000
22,0.183278,10.084996,3.0000,0.199214,4879.168345,0.597179,0.597179,0.004511,0.002694,1.000000
23,0.172944,9.770967,3.0000,0.183881,4232.815852,0.551099,0.551099,0.004642,0.002558,1.000000
24,0.176313,9.452787,3.0000,0.187163,4343.012598,0.561007,0.561007,0.004783,0.002684,1.000000
25,0.170357,9.131018,3.0000,0.181068,4147.890053,0.543054,0.543054,0.004935,0.002680,1.000000
