step,sigma_hat_0,sigma_t,approx_coeff,sure_val,pixel_delta_rms,effective_alpha
0,0.341790,14.614647,4.0000,751014.197087,0.020187,0.100000
1,0.340986,14.586024,4.0000,762443.365977,0.033172,0.100000
2,0.329644,14.523873,4.0000,719386.701505,0.045155,0.100000
3,0.324797,14.436495,4.0000,696676.046452,0.056913,0.100000
4,0.320273,14.327435,4.0000,694258.477201,0.068228,0.100000
5,0.311887,14.198980,4.0000,663510.833751,0.065611,0.100000
6,0.309798,14.052824,4.0000,681051.366653,0.063972,0.100000
7,0.302072,13.890330,4.0000,669023.468825,0.062536,0.100000
8,0.298895,13.712652,4.0000,671526.459081,0.061603,0.100000
9,0.296275,13.520800,4.0000,703652.908343,0.060862,0.100000
10,0.295163,13.315684,4.0000,652636.493647,0.060766,0.100000
11,0.291172,13.098140,4.0000,621485.077687,0.060760,0.100000
12,0.282105,12.868946,4.0000,512652.356572,0.060308,0.100000
13,0.280874,12.628837,4.0000,449753.104872,0.060322,0.100000
14,0.276278,12.378512,4.0000,373213.141978,0.060213,0.100000
15,0.272712,12.118646,4.0000,343642.791201,0.060181,0.100000
16,0.270379,11.849886,4.0000,311398.337698,0.060114,0.100000
17,0.254615,11.572865,4.0000,261196.533722,0.059033,0.100000
18,0.247575,11.288198,4.0000,283066.080090,0.058307,0.100000
19,0.238446,10.996489,4.0000,167919.235337,0.057918,0.100000
20,0.232932,10.698330,4.0000,74429.142199,0.058097,0.100000
21,0.224546,10.394307,4.0000,87762.715569,0.057672,0.100000
22,0.216243,10.084996,4.0000,70396.085897,0.057099,0.100000
23,0.206322,9.770967,4.0000,93436.028059,0.056306,0.100000
24,0.197893,9.452787,4.0000,81439.970495,0.055257,0.100000
25,0.191869,9.131018,4.0000,95063.966507,0.054344,0.100000
26,0.183662,8.806214,4.0000,73657.535718,0.052869,0.100000
27,0.179124,8.478933,4.0000,79151.138694,0.051922,0.100000
28,0.173914,8.149728,4.0000,74205.459802,0.050921,0.100000
29,0.164891,7.819149,4.0000,79683.539858,0.049367,0.100000
30,0.158751,7.487746,4.0000,62705.429040,0.048042,0.100000
31,0.151823,7.156068,4.0000,53468.752371,0.046599,0.100000
32,0.146421,6.824666,4.0000,39147.205520,0.045299,0.100000
33,0.141243,6.494086,4.0000,38586.456360,0.044143,0.100000
34,0.131986,6.164881,4.0000,30839.058731,0.042681,0.100000
35,0.128355,5.837600,4.0000,33788.846421,0.041517,0.100000
36,0.123051,5.512797,4.0000,31414.786838,0.040250,0.100000
37,0.121257,5.191027,4.0000,37271.016127,0.039083,0.100000
38,0.116819,4.872847,4.0000,25097.771004,0.037486,0.100000
39,0.111729,4.558818,4.0000,26995.858827,0.036041,0.100000
40,0.110783,4.249507,4.0000,22249.174557,0.035166,0.100000
41,0.105859,3.945484,4.0000,14712.766551,0.034125,0.100000
42,0.100204,3.647326,4.0000,25028.253911,0.033167,0.100000
43,0.098211,3.355617,4.0000,16044.145862,0.032309,0.100000
44,0.096617,3.070950,4.0000,15966.689374,0.031233,0.100000
45,0.095558,2.793929,4.0000,24868.239613,0.030340,0.100000
46,0.090266,2.525169,4.0000,22426.807393,0.029099,0.100000
47,0.085360,2.265302,4.0000,14561.769725,0.028051,0.100000
48,0.080322,2.014978,4.0000,13329.152279,0.026940,0.100000
49,0.076409,1.774869,4.0000,9219.273167,0.025707,0.100000
50,0.080254,1.545675,4.0000,8912.967930,0.024991,0.100000
51,0.082552,1.328130,4.0000,11543.269577,0.024632,0.100000
52,0.088427,1.123015,4.0000,4788.460950,0.024864,0.100000
53,0.092771,0.931163,4.0000,8686.597586,0.025420,0.100000
54,0.103753,0.753484,4.0000,3242.516948,0.026265,0.100000
55,0.110467,0.590990,4.0000,3571.438216,0.027102,0.100000
56,0.122254,0.444834,4.0000,1167.611306,0.027656,0.100000
57,0.133273,0.316379,4.0000,739.950398,0.027500,0.100000
58,0.144345,0.207320,4.0000,56.186604,0.026261,0.100000
59,0.119941,0.119941,4.0000,-1394.060943,0.024313,0.100000
60,0.057790,0.057790,4.0000,-61.900243,0.022128,0.100000
61,0.029168,0.029168,4.0000,44.323579,0.019800,0.100000
