step,sigma_hat_0,sigma_t,approx_coeff,sure_val,pixel_delta_rms,effective_alpha
0,0.341790,14.614647,4.0000,751014.197087,0.018328,0.100000
1,0.341315,14.586024,4.0000,759340.872525,0.027493,0.100000
2,0.329523,14.523873,4.0000,717656.777135,0.034200,0.100000
3,0.325484,14.436495,4.0000,701875.701043,0.039584,0.100000
4,0.322996,14.327435,4.0000,705866.298418,0.043928,0.100000
5,0.315024,14.198980,4.0000,675051.281908,0.039470,0.100000
6,0.309728,14.052824,4.0000,679110.040538,0.036257,0.100000
7,0.302786,13.890330,4.0000,666807.426379,0.033790,0.100000
8,0.297720,13.712652,4.0000,674476.624224,0.032104,0.100000
9,0.294141,13.520800,4.0000,692330.129432,0.030874,0.100000
10,0.294028,13.315684,4.0000,653437.616232,0.030287,0.100000
11,0.294191,13.098140,4.0000,642611.567420,0.030818,0.100000
12,0.282563,12.868946,4.0000,501847.365513,0.031521,0.100000
13,0.281463,12.628837,4.0000,450029.364386,0.032764,0.100000
14,0.277434,12.378512,4.0000,371874.520718,0.034415,0.100000
15,0.273495,12.118646,4.0000,345769.444036,0.036917,0.100000
16,0.270420,11.849886,4.0000,317435.884787,0.039991,0.100000
17,0.252766,11.572865,4.0000,270574.787121,0.043161,0.100000
18,0.245834,11.288198,4.0000,279016.550456,0.047088,0.100000
19,0.237748,10.996489,4.0000,176632.013806,0.051149,0.100000
20,0.231221,10.698330,4.0000,112187.154073,0.056064,0.100000
21,0.223026,10.394307,4.0000,95850.390815,0.062074,0.100000
22,0.215811,10.084996,4.0000,83238.635925,0.068461,0.100000
23,0.207893,9.770967,4.0000,98997.790795,0.075732,0.100000
24,0.198613,9.452787,4.0000,88544.371240,0.083381,0.100000
25,0.192590,9.131018,4.0000,95370.746792,0.092721,0.100000
26,0.183985,8.806214,4.0000,77606.352140,0.102500,0.100000
27,0.178494,8.478933,4.0000,77516.789392,0.112379,0.100000
28,0.171798,8.149728,4.0000,81156.415917,0.122287,0.100000
29,0.162815,7.819149,4.0000,79355.061779,0.132796,0.100000
30,0.156552,7.487746,4.0000,52294.866439,0.145288,0.100000
31,0.151282,7.156068,4.0000,49118.821130,0.156363,0.100000
32,0.145209,6.824666,4.0000,38071.220098,0.167552,0.100000
33,0.140338,6.494086,4.0000,36094.181007,0.178917,0.100000
34,0.131864,6.164881,4.0000,32693.573016,0.191403,0.100000
35,0.127584,5.837600,4.0000,33110.769959,0.203380,0.100000
36,0.121975,5.512797,4.0000,30965.096760,0.216059,0.100000
37,0.120256,5.191027,4.0000,33225.709607,0.230275,0.100000
38,0.112108,4.872847,4.0000,16794.856577,0.240623,0.100000
39,0.108571,4.558818,4.0000,19656.655843,0.251112,0.100000
40,0.109979,4.249507,4.0000,22561.973890,0.266761,0.100000
41,0.104270,3.945484,4.0000,15281.823896,0.281620,0.100000
42,0.098807,3.647326,4.0000,21192.244017,0.292834,0.100000
43,0.097326,3.355617,4.0000,19601.130672,0.305412,0.100000
44,0.095406,3.070950,4.0000,12269.903809,0.320683,0.100000
45,0.093097,2.793929,4.0000,33595.498872,0.333307,0.100000
46,0.085024,2.525169,4.0000,20333.184116,0.340334,0.100000
47,0.076715,2.265302,4.0000,15838.602866,0.348464,0.100000
48,0.076282,2.014978,4.0000,11919.797208,0.365391,0.100000
49,0.086190,1.774869,4.0000,18143.107657,0.388723,0.100000
50,0.088066,1.545675,4.0000,14949.865112,0.407393,0.100000
51,0.097909,1.328130,4.0000,17367.683665,0.422488,0.100000
52,0.117354,1.123015,4.0000,10569.703782,0.462190,0.100000
53,0.139045,0.931163,4.0000,14726.416844,0.513799,0.100000
54,0.171601,0.753484,4.0000,7309.994638,0.558570,0.100000
55,0.196141,0.590990,4.0000,59999.946006,0.506909,0.100000
56,0.216919,0.444834,4.0000,3731.931688,0.381524,0.100000
57,0.228280,0.316379,4.0000,4133.208188,0.495619,0.100000
58,0.207320,0.207320,4.0000,21678.848195,0.459296,0.100000
59,0.119941,0.119941,4.0000,9372.019768,0.311780,0.100000
60,0.057790,0.057790,4.0000,1632.178908,0.207289,0.100000
61,0.029168,0.029168,4.0000,257.835496,0.146218,0.100000
