step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
33,0.122082,6.494086,4.0000,0.141756,2076.520339,0.566508,0.566508,0.006672,0.003780,1.000000
34,0.109615,6.164881,4.0000,0.116132,1662.660303,0.464005,0.464005,0.006978,0.003238,1.000000
35,0.110516,5.837600,4.0000,0.118452,1716.411462,0.471176,0.471176,0.007313,0.003445,1.000000
36,0.110815,5.512797,4.0000,0.122758,1925.580870,0.487526,0.487526,0.007677,0.003743,1.000000
37,0.087850,5.191027,4.0000,0.100788,1404.714300,0.399502,0.399502,0.008076,0.003226,1.000000
38,0.087594,4.872847,4.0000,0.105564,1518.761909,0.416026,0.416026,0.008514,0.003542,1.000000
39,0.084821,4.558818,4.0000,0.104981,1480.030656,0.405151,0.405151,0.008995,0.003644,1.000000
40,0.077287,4.249507,4.0000,0.091350,1089.452828,0.362225,0.362225,0.009525,0.003450,1.000000
41,0.072187,3.945484,4.0000,0.086981,978.327476,0.342061,0.342061,0.010110,0.003458,1.000000
42,0.079823,3.647326,4.0000,0.094224,1118.447891,0.369707,0.369707,0.010759,0.003978,1.000000
43,0.071654,3.355617,4.0000,0.084359,882.161479,0.327447,0.327447,0.011479,0.003759,1.000000
44,0.066569,3.070950,4.0000,0.072908,723.912726,0.286537,0.286537,0.012282,0.003519,1.000000
45,0.066848,2.793929,4.0000,0.073292,765.009860,0.289920,0.289920,0.013179,0.003821,1.000000
46,0.063530,2.525169,4.0000,0.073951,725.460700,0.291684,0.291684,0.014184,0.004137,1.000000
47,0.051817,2.265302,4.0000,0.057362,449.101047,0.227335,0.227335,0.015313,0.003481,1.000000
48,0.052772,2.014978,4.0000,0.058147,455.678122,0.229477,0.229477,0.016584,0.003806,1.000000
49,0.049996,1.774869,4.0000,0.055934,424.460162,0.215732,0.215732,0.018019,0.003887,1.000000
50,0.054465,1.545675,4.0000,0.058121,427.049324,0.231542,0.231542,0.019641,0.004548,1.000000
51,0.048323,1.328130,4.0000,0.051253,360.034986,0.202275,0.202275,0.021476,0.004344,1.000000
52,0.055244,1.123015,4.0000,0.057733,445.995524,0.230114,0.230114,0.023551,0.005420,1.000000
53,0.056168,0.931163,4.0000,0.059090,443.607124,0.235144,0.235144,0.025891,0.006088,1.000000
54,0.052612,0.753484,4.0000,0.054547,387.183138,0.217696,0.217696,0.028515,0.006208,1.000000
55,0.061911,0.590990,4.0000,0.065391,454.729537,0.261157,0.261157,0.031427,0.008207,1.000000
56,0.072726,0.444834,4.0000,0.072194,463.070179,0.288350,0.288350,0.034606,0.009979,1.000000
57,0.066465,0.316379,4.0000,0.060822,253.175203,0.243288,0.243288,0.037983,0.009241,1.000000
58,0.089087,0.207320,4.0000,0.055845,-330.430718,0.223379,0.223379,0.041414,0.009251,1.000000
59,0.067520,0.119941,4.0000,0.033638,-283.274164,0.134553,0.134553,0.044645,0.006007,1.000000
60,0.065102,0.057790,4.0000,0.026182,-297.294078,0.104728,0.104728,0.047268,0.004950,1.000000
61,0.095309,0.029168,4.0000,0.033376,-1007.105099,0.133503,0.133503,0.048583,0.006486,1.000000
