step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
0,0.313054,14.614647,4.0000,0.328251,11864.240180,1.304064,1.304064,0.003202,0.004176,1.000000
1,0.286243,14.586024,4.0000,0.304892,10748.890687,1.211192,1.211192,0.003208,0.003886,1.000000
2,0.268668,14.523873,4.0000,0.283290,9735.963638,1.128029,1.128029,0.003221,0.003633,1.000000
3,0.274877,14.436495,4.0000,0.292636,9944.018616,1.163869,1.163869,0.003239,0.003770,1.000000
4,0.275311,14.327435,4.0000,0.290367,10034.464054,1.154985,1.154985,0.003262,0.003768,1.000000
5,0.253399,14.198980,4.0000,0.269742,9013.253996,1.073102,1.073102,0.003290,0.003530,1.000000
6,0.242684,14.052824,4.0000,0.257662,8408.826181,1.027011,1.027011,0.003322,0.003411,1.000000
7,0.243660,13.890330,4.0000,0.253251,8046.420457,1.009054,1.009054,0.003358,0.003388,1.000000
8,0.224665,13.712652,4.0000,0.235247,7274.389482,0.937278,0.937278,0.003398,0.003185,1.000000
9,0.246630,13.520800,4.0000,0.252450,8049.974210,1.004567,1.004567,0.003443,0.003459,1.000000
10,0.229467,13.315684,4.0000,0.240603,7422.536652,0.957071,0.957071,0.003493,0.003343,1.000000
11,0.222229,13.098140,4.0000,0.234954,7131.239604,0.933361,0.933361,0.003547,0.003310,1.000000
12,0.210126,12.868946,4.0000,0.227997,6526.016236,0.904954,0.904954,0.003605,0.003263,1.000000
13,0.228637,12.628837,4.0000,0.250562,7461.615673,0.986749,0.986749,0.003669,0.003620,1.000000
14,0.250180,12.378512,4.0000,0.270615,8199.518664,1.057614,1.057614,0.003737,0.003953,1.000000
15,0.218791,12.118646,4.0000,0.238466,7199.885930,0.940504,0.940504,0.003811,0.003585,1.000000
16,0.227017,11.849886,4.0000,0.248055,7167.401052,0.970365,0.970365,0.003891,0.003776,1.000000
17,0.231919,11.572865,4.0000,0.246355,7105.854896,0.968472,0.968472,0.003977,0.003851,1.000000
18,0.221292,11.288198,4.0000,0.239950,7036.357645,0.947173,0.947173,0.004069,0.003854,1.000000
19,0.216370,10.996489,4.0000,0.235781,6645.080209,0.934875,0.934875,0.004168,0.003896,1.000000
20,0.192647,10.698330,4.0000,0.209560,5558.474868,0.831646,0.831646,0.004274,0.003555,1.000000
21,0.186009,10.394307,4.0000,0.200532,5158.381522,0.798357,0.798357,0.004388,0.003503,1.000000
22,0.174976,10.084996,4.0000,0.189273,4474.117610,0.753585,0.753585,0.004511,0.003399,1.000000
23,0.172321,9.770967,4.0000,0.185508,4360.970751,0.734781,0.734781,0.004642,0.003411,1.000000
24,0.177647,9.452787,4.0000,0.190347,4463.060755,0.755336,0.755336,0.004783,0.003613,1.000000
25,0.154525,9.131018,4.0000,0.165918,3666.117592,0.663062,0.663062,0.004935,0.003272,1.000000
26,0.149298,8.806214,4.0000,0.155295,3219.517356,0.620571,0.620571,0.005099,0.003164,1.000000
27,0.156505,8.478933,4.0000,0.163312,3338.642292,0.648991,0.648991,0.005275,0.003423,1.000000
28,0.138116,8.149728,4.0000,0.144345,2798.636649,0.568147,0.568147,0.005465,0.003105,1.000000
29,0.126815,7.819149,4.0000,0.135262,2358.658017,0.530223,0.530223,0.005669,0.003006,1.000000
30,0.129686,7.487746,4.0000,0.142537,2482.158859,0.565666,0.565666,0.005891,0.003332,1.000000
31,0.133851,7.156068,4.0000,0.152480,2679.736678,0.609450,0.609450,0.006130,0.003736,1.000000
32,0.117172,6.824666,4.0000,0.131908,2206.453755,0.527632,0.527632,0.006390,0.003372,1.000000
